Страны пребывания;;Поездка;;;Виза;;;;;
Израиль, Иордания;Israel, Jordan;28.12.2013;06.01.2014;28.12.2013-06.01.2014;;;Нет;нет визы;нет визы;
Израиль;Israel;01.05.2013;10.05.2013;01.05.2013-10.05.2013;;;Нет;нет визы;нет визы;
Италия;Italy;05.01.2013;12.01.2013;05.01.2013-12.01.2013;05.01.2013;27.01.2013;Да;;05.01.2013-27.01.2013;
Литва;Litva;14.09.2012;16.09.2012;14.09.2012-16.09.2012;26.06.2012;01.01.2013;Да;(Португалия);26.06.2012-01.01.2013(Португалия);
Португалия;Portugal;06.07.2012;17.07.2012;06.07.2012-17.07.2012;26.06.2012;01.01.2013;Да;;26.06.2012-01.01.2013;
Щвейцария;Switzerland;04.02.2012;11.02.2012;04.02.2012-11.02.2012;04.02.2011;11.02.2012;Да;;04.02.2011-11.02.2012;
Греция;Grece;09.10.2011;19.10.2011;09.10.2011-19.10.2011;09.10.2011;03.11.2011;Да;;09.10.2011-03.11.2011;
Чехия;Czech Republic;26.06.2011;02.07.2011;26.06.2011-02.07.2011;02.01.2011;02.07.2011;Да;(Испания);02.01.2011-02.07.2011(Испания);
Австрия;Austria;13.03.2011;20.03.2011;13.03.2011-20.03.2011;02.01.2011;02.07.2011;Да;(Испания);02.01.2011-02.07.2011(Испания);
Испания;Spain;02.01.2011;08.01.2011;02.01.2011-08.01.2011;02.01.2011;02.07.2011;Да;;02.01.2011-02.07.2011;
Кипр;Cyprus;29.06.2010;13.07.2010;29.06.2010-13.07.2010;18.06.2010;18.06.2013;Нет;;18.06.2010-18.06.2013;
Норвегия;Norway;03.01.2010;10.01.2010;03.01.2010-10.01.2010;03.01.2010;10.01.2010;Да;;03.01.2010-10.01.2010;
Доминиканская республика;Rep Dominicana;21.03.2009;31.03.2009;21.03.2009-31.03.2009;;;Нет;нет визы;нет визы;
Германия;Germany;16.11.2008;23.11.2008;16.11.2008-23.11.2008;12.11.2008;09.02.2009;Да;(multi);12.11.2008-09.02.2009(multi);
Германия;Germany;23.02.2008;28.02.2008;23.02.2008-28.02.2008;23.02.2008;28.02.2008;Да;;23.02.2008-28.02.2008;
Финляндия;Finland;04.01.2008;11.01.2008;04.01.2008-11.01.2008;04.01.2008;11.01.2008;Да;;04.01.2008-11.01.2008;
Тунис;Tunis;20.05.2007;31.05.2007;20.05.2007-31.05.2007;;;Нет;нет визы;нет визы;
Германия;Germany;27.02.2007;04.03.2007;27.02.2007-04.03.2007;27.02.2007;27.03.2007;Да;;27.02.2007-27.03.2007;
Франция;France;14.10.2006;22.10.2006;14.10.2006-22.10.2006;14.10.2006;14.01.2007;Да;;14.10.2006-14.01.2007;
Андорра(+Испания);Andora+Spain;03.01.2006;10.01.2006;03.01.2006-10.01.2006;03.01.2006;02.02.2006;Да;;03.01.2006-02.02.2006;
